Número de Autorización;Fecha de Transacción;Descripción;Valor Original;Tasa Pactada;Tasa EA Facturada;Cargos y Abonos;Saldo a Diferir;Cuotas
74003;2023-05-02;Tienda de Mascotas;38187.46;0.018458424109809222;0.003627921920219053;38187.46;0;1/1
29401;2025-06-12;Plomería;40346.11;0.02161869114639304;0.010708221302577101;40346.11;0;1/1
63389;2021-11-08;Escuelas de Idiomas;85752.66;0.015432109176890316;0.005353837870613849;85752.66;0;1/1
94502;2023-09-12;Seguros de Vida;306914.66;0.007311549716427332;0.029640972530903222;306914.66;0;1/1
85308;2023-02-08;SUPERMERCADO;482763.15;0.01573841532914872;0.0005367219014549418;482763.15;0;1/1
18561;2020-07-15;Aerolínea;285602.78;0.018947314105891976;0.024515499665188577;285602.78;0;1/1
33419;2025-03-18;Pastelería;428622.15;0.008812834150728229;0.0020448262900305903;428622.15;0;1/1
17851;2024-08-26;Aerolínea;223847.98;0.009463293534022095;0.03306925117290986;223847.98;0;1/1
86985;2022-10-22;Aerolínea;214451.53;0.01432302799987393;0.0026474138245567947;214451.53;0;1/1
72407;2024-01-02;Cine;204584.79;0.013527836197904767;0.029229924547948753;204584.79;0;1/1
63213;2020-03-11;Pinturas;289319.94;0.019444404918759293;0.005886650716357296;289319.94;0;1/1
56602;2024-10-05;Panadería;444208.79;0.020538654380418735;0.0035145515112826463;444208.79;0;1/1
69000;2024-06-14;Mueblería;199724.67;0.02483273095515567;0.031684108275844294;199724.67;0;1/1
21780;2020-11-17;Electrónica;466526.23;0.026435799393410425;0.023419290657867523;466526.23;0;1/1
45607;2024-03-24;Decoración;433618.81;0.026937881457384516;0.024338816685541612;433618.81;0;1/1
22997;2025-09-08;Gimnasio;86472.49;0.022221023072527112;0.03239738287080854;86472.49;0;1/1
51283;2022-10-07;Tienda de Ropa;106205.43;0.004120013299193632;0.007508282007157599;106205.43;0;1/1
82379;2022-08-17;Tienda de Ropa;116098.95;0.027512168485505428;0.014693627989608729;116098.95;0;1/1
34168;2022-11-14;Tienda de Instrumentos Musicales;487265.82;0.0013452015328075538;0.034541162255453235;487265.82;0;1/1
33959;2023-06-16;Alquiler de Vivienda;299424.4;0.014544712339270483;0.014660046052451109;299424.4;0;1/1
92895;2020-10-28;Cursos Online;463911.17;0.02354335520118703;0.0029075718380038927;463911.17;0;1/1
84649;2025-09-04;Gasolina;140544.43;0.023535301624711014;0.004055853883836802;140544.43;0;1/1
48571;2022-11-12;Veterinaria;333454.22;0.02844783421033575;0.02158664791508302;333454.22;0;1/1
32549;2023-12-17;Pago de Servicios (Luz);488686.69;0.020908775895239616;0.03852846223052822;488686.69;0;1/1
49095;2024-02-05;Pinturas;424727.29;0.0287081074003661;0.028511757389142287;424727.29;0;1/1
16586;2022-09-25;Plomería;372449.35;0.004538721815524418;0.0015524359458382576;372449.35;0;1/1
29954;2020-07-05;Apps de Productividad;24759.47;0.028772111678302893;0.020643006699682834;24759.47;0;1/1
95553;2022-08-06;Revistas;495467.46;0.024524434311559606;0.03396052960621269;495467.46;0;1/1
24941;2022-05-18;Decoración;399413.39;0.004697116057408769;0.005369228742745888;399413.39;0;1/1
38854;2021-10-31;Pago de Servicios (Agua);172859.54;0.018908967259295764;0.006481196914125373;172859.54;0;1/1
38421;2022-02-27;Discoteca;395628.98;0.02603205798802439;0.0252429320063629;395628.98;0;1/1
75482;2023-12-17;Gasolina;50159.68;0.00573466192292338;0.02546226502322483;50159.68;0;1/1
84105;2024-02-23;Tienda de Deportes;476417.36;0.022806514381959776;0.030866739881982998;476417.36;0;1/1
79890;2025-03-27;Apps de Salud;50176.82;0.028698025453402234;0.022226853544170488;50176.82;0;1/1
96831;2024-11-27;Pago de Servicios (Gas);481100.63;0.003197055202209751;0.03572728022736287;481100.63;0;1/1
52244;2025-01-15;Seguros de Vida;424276.88;0.01528083916404593;0.025796408436191097;424276.88;0;1/1
64233;2023-03-03;Créditos Hipotecarios;392511.06;0.015120067791835492;0.028724658563284586;392511.06;0;1/1
67853;2020-02-22;Consolas;375652.54;0.0068818826742036;0.029838509578130102;375652.54;0;1/1
14876;2022-10-05;Créditos Personales;56026.07;0.029820279467842804;0.019603182748671243;56026.07;0;1/1
34936;2020-03-03;Dentista;93040.58;0.028098022672498592;0.038584552267863025;93040.58;0;1/1
81162;2022-09-26;Aerolínea;172210.04;0.0057646093970444845;0.03270307847900113;172210.04;0;1/1
72292;2024-06-19;Marketplace Local;495492.38;0.014332125482515994;0.019109802644192347;495492.38;0;1/1
14533;2021-06-10;Clases de Música;423143.66;0.01684298482860368;0.025210023746981416;423143.66;0;1/1
97654;2024-03-30;Pago de Servicios (Gas);475145.59;0.008427128372908002;0.02271698879271381;475145.59;0;1/1
75371;2023-12-06;Alquiler de Vivienda;272505.07;0.013904036811057821;0.011039550528553255;272505.07;0;1/1
88630;2022-12-17;Apps de Salud;423617.41;0.02942896676497245;0.011652653377589228;423617.41;0;1/1
77450;2023-11-24;Agencia de Viajes;89842.55;0.027061022476069504;0.03661132278872163;89842.55;0;1/1
65316;2021-02-04;Streaming (Netflix, Spotify);219255.72;0.010418442905323814;0.03913548453027398;219255.72;0;1/1
34487;2021-08-02;Cosméticos;95056.53;0.008817741906721802;0.030557154698370576;95056.53;0;1/1
98929;2025-03-28;Spa;196370.8;0.01844869113622224;0.0077836539748397104;196370.8;0;1/1
69044;2021-04-29;Relojería;498818.23;0.012169066244190228;0.00997945260720833;498818.23;0;1/1
37231;2020-07-23;Agencia de Viajes;101101.72;0.02384300600803022;0.005603478043049757;101101.72;0;1/1
78750;2024-02-20;Colegio;111307.42;7.173456424884317e-05;0.024108868203441557;111307.42;0;1/1
63813;2023-09-30;Cine;247840.39;0.016798627190818212;0.028414600621528858;247840.39;0;1/1
60721;2021-01-09;Pago de Servicios (Internet);240708.12;0.0011817401760652656;0.02608118252245242;240708.12;0;1/1
47581;2020-12-12;Apps de Productividad;115563.06;0.0063183892906880585;0.03801582366921025;115563.06;0;1/1
51858;2020-07-14;Avance en Efectivo;121179.48;0.023658071386024576;0.006000011154436784;121179.48;0;1/1
38028;2024-08-13;Videojuegos;36825.63;0.00858745061623379;0.0027062440486384045;36825.63;0;1/1
14267;2023-05-09;Cambio de Tarjeta;208591.91;0.020842822985705226;0.03341108603407332;208591.91;0;1/1
82404;2024-04-02;Joyería;99631.83;0.014012383099588308;0.033757857794514075;99631.83;0;1/1
83705;2024-12-15;Psicólogo;283244.11;0.011621640043454881;0.006178351803309679;283244.11;0;1/1
82754;2020-01-06;Taxi;462764.31;0.013522555717502497;0.002115349495648076;462764.31;0;1/1
97973;2023-11-20;Discoteca;95354.47;0.018919407799008248;0.033118969437441456;95354.47;0;1/1
48202;2025-03-06;Marketplace Local;473300.04;0.02329803579941298;0.012388292381970407;473300.04;0;1/1
75342;2023-04-21;Apps de Productividad;309301.97;0.022911973597951607;0.02672860301486421;309301.97;0;1/1
10876;2024-01-20;Cursos Online;54541.71;0.012619639306998928;0.013610324909247762;54541.71;0;1/1
42665;2022-08-31;Pago de Servicios (Internet);303131.07;0.026644248450517;0.031046465134857707;303131.07;0;1/1
53428;2022-12-05;Libros Digitales;469769.69;0.009035688902829082;0.033033619067726026;469769.69;0;1/1
95529;2023-01-03;Veterinaria;37316.38;0.008636281507588458;0.001211393540755723;37316.38;0;1/1
87219;2021-02-24;Librería;341840.07;0.009181166924054086;0.03454768979631104;341840.07;0;1/1
34555;2024-10-21;Papelería;439196.9;0.027925024205182697;0.021921810368162205;439196.9;0;1/1
26079;2025-03-12;Créditos Personales;87638.51;0.02732859068027212;0.0004899389695274037;87638.51;0;1/1
72504;2021-12-12;Pago de Servicios (Internet);379232.3;0.014311411643254135;0.03640362210756578;379232.3;0;1/1
98104;2020-07-21;Restaurante;354120.98;0.024069888437633132;0.007630629751700555;354120.98;0;1/1
49325;2022-05-27;Agencia de Viajes;55784.16;0.023340641367059295;0.0074413600419788615;55784.16;0;1/1
47007;2024-03-20;Pinturas;316453.74;0.01665608042190933;0.018199646657575314;316453.74;0;1/1
24908;2025-07-17;Gimnasio Virtual;69239.95;0.026877212155213163;0.0025305369183320583;69239.95;0;1/1
66803;2024-04-30;Taxi;166878.08;0.006675428426534146;0.013448331686191169;166878.08;0;1/1
22873;2023-03-29;Gimnasio Virtual;25922.91;0.007075846096593441;0.027145958985210453;25922.91;0;1/1
53094;2021-05-09;Barbería;238924.35;0.01572098911268615;0.026851670645793684;238924.35;0;1/1
50068;2023-03-28;Ferretería;153853.19;0.020090008107466733;0.011191313830007222;153853.19;0;1/1
96300;2023-03-21;Decoración;298287.46;0.02088806865495859;0.0014622255543268725;298287.46;0;1/1
95593;2025-09-04;Cafetería;40909.6;0.0005949303116222093;0.023892421621041483;40909.6;0;1/1
54930;2025-01-14;Revistas;401023.47;0.01911336591426481;0.02249135287446458;401023.47;0;1/1
60217;2023-11-12;Taxi;22780.6;0.0018610382903912692;0.020696832279989925;22780.6;0;1/1
66754;2022-01-11;Cosméticos;95606.33;0.007167134696612447;0.012048224641990974;95606.33;0;1/1
86788;2025-03-13;Dentista;308576.38;0.016484559407302226;0.03731988597674951;308576.38;0;1/1
70689;2020-06-23;Libros Digitales;201102.74;0.005679232027103238;0.005648117843004972;201102.74;0;1/1
75143;2024-03-31;Relojería;27671.66;0.015882372094297412;4.4281219566064676e-05;27671.66;0;1/1
99772;2025-03-27;Transporte Público;280954.63;0.022503873760455553;0.017176190564672077;280954.63;0;1/1
63876;2020-04-06;Uber/Didi/Cabify;375387.47;0.02719695279337644;0.038136091972298274;375387.47;0;1/1
67087;2023-05-20;Entrenador Personal;71783.31;0.018530451701515856;0.03033365277567621;71783.31;0;1/1
84900;2025-04-07;Tienda de Electrodomésticos;439060.05;0.021808837131767914;0.021056339388574145;439060.05;0;1/1
11830;2023-03-29;Dentista;21446.86;0.026619297614120217;0.03752659369484755;21446.86;0;1/1
46945;2023-10-26;Créditos Hipotecarios;452322.98;0.009639211761628763;0.0051445632075448255;452322.98;0;1/1
83309;2022-12-22;Tienda de Moda;162465.81;0.0203368479699524;0.01192513546067843;162465.81;0;1/1
27951;2023-04-04;Psicólogo;480776.15;0.026676713078807986;0.012813939339117555;480776.15;0;1/1
93655;2023-04-21;Hotel;34142.03;0.01193472071306708;0.003870144356531253;34142.03;0;1/1
63407;2020-09-18;Celulares;102712.67;0.021949471024843594;0.02054227387265476;102712.67;0;1/1
34591;2025-08-22;Ferretería;140451.84;0.020424391989304166;0.02645033929037739;140451.84;0;1/1
15361;2021-06-20;Mueblería;95362.68;0.004358751567925167;0.0054129521265600024;95362.68;0;1/1
50838;2025-03-01;Créditos Personales;485166.82;0.006218302999641285;0.03257669121491634;485166.82;0;1/1
91500;2023-03-27;Tienda de Deportes;150421.72;0.026005823928455768;0.01796976920824223;150421.72;0;1/1
42724;2024-12-09;Créditos Hipotecarios;43955.07;0.016654978521081002;0.02617690024871503;43955.07;0;1/1
13654;2024-03-24;Gasolina;32139.47;0.023953365738784326;0.02435974758061625;32139.47;0;1/1
26072;2023-10-22;Aerolínea;405677.27;5.5411385136083787e-05;0.030023649948200892;405677.27;0;1/1
56771;2020-01-13;Hotel;46355.71;0.004473653339651323;0.028090672111289558;46355.71;0;1/1
73333;2021-04-10;Tienda de Deportes;51834.1;0.028781494025543513;0.028633967386089934;51834.1;0;1/1
18492;2024-02-17;Pago de Servicios (Gas);432863.65;0.018446795751412563;0.029254188586473964;432863.65;0;1/1
25659;2025-08-24;Libros Digitales;191395.72;0.029235177636564906;0.02578750073310534;191395.72;0;1/1
42079;2022-07-01;Clases de Música;413055.46;0.018025372747873906;0.011759178850877943;413055.46;0;1/1
87633;2021-10-21;Videojuegos;286289.22;0.025043610933420127;0.006552892304543034;286289.22;0;1/1
96799;2024-06-15;Tienda de Instrumentos Musicales;326898.78;0.025742899069233893;0.0222537821182658;326898.78;0;1/1
28816;2023-05-19;Tienda de Instrumentos Musicales;282885.2;0.008542297614301534;0.006871744183201077;282885.2;0;1/1
73949;2020-03-27;Cafetería;152204.37;0.013308309328829421;0.011558369880466298;152204.37;0;1/1
85787;2020-01-09;Tienda de Mascotas;374940.75;0.01471126147991132;0.0234136996906108;374940.75;0;1/1
93695;2023-08-11;Dietas Online;303546.42;0.02367326240734814;0.02282957476955768;303546.42;0;1/1
19648;2025-05-08;Seguros de Vida;409636.16;0.02890822579539494;0.035311074090514136;409636.16;0;1/1
27877;2020-09-23;Ferretería;67636.31;0.012112920852608728;0.036457965931913326;67636.31;0;1/1
28932;2020-12-23;Avance en Efectivo;451456.31;0.00311167569202743;0.027250478059184777;451456.31;0;1/1
52685;2021-12-09;Veterinaria;272131.63;0.008523110527208257;0.011655314443445612;272131.63;0;1/1
62485;2020-05-04;Guardería;485450.55;0.022852477995126144;0.03200324777776027;485450.55;0;1/1
79012;2020-05-17;Entrenador Personal;115523.27;4.540113435679283e-06;0.010399772829490268;115523.27;0;1/1
76290;2024-01-29;Ajuste Banco;40070.15;0.01882492362681629;0.03637498722391221;40070.15;0;1/1
47363;2025-07-19;Electrónica;90353.51;0.02139011798641157;0.02293425052076513;90353.51;0;1/1
92680;2021-11-15;Pago de Servicios (Gas);205470.29;0.023097548977334913;0.009295201724228189;205470.29;0;1/1
37027;2020-06-11;Ferretería;33271.9;0.02227593331979096;0.030546553921345723;33271.9;0;1/1
36899;2025-02-19;Cine;215820.13;0.019936467724138877;0.03217034094109519;215820.13;0;1/1
57358;2024-09-22;Ferretería;445822.01;0.01388790472964109;0.01552068181208643;445822.01;0;1/1
12937;2023-10-08;Parque de Diversiones;84782.13;0.02612540132387194;0.032432113368575086;84782.13;0;1/1
50824;2023-07-15;Software;327504.74;0.00779378292476576;0.02693461027290117;327504.74;0;1/1
24143;2021-01-15;Marketplace (Amazon, eBay);427794.22;0.0009156010927438385;0.039887117316368535;427794.22;0;1/1
47329;2023-04-28;Zapatería;92742.38;0.00332778421971883;0.002021458437644763;92742.38;0;1/1
28799;2023-02-02;Marketplace Local;22538.41;0.028813210828612445;0.016482864052053806;22538.41;0;1/1
91594;2025-03-28;Tienda de Juguetes;278289.05;0.00952584213022917;0.02239574416732107;278289.05;0;1/1
80097;2020-12-25;Cosméticos;137072.54;6.377756093653097e-05;0.003059776054446495;137072.54;0;1/1
79903;2024-11-02;Decoración;66315.98;0.017374514593194314;0.00670129728286323;66315.98;0;1/1
40552;2022-05-20;Revistas;260348.44;0.0024690190973217017;0.035981110849360703;260348.44;0;1/1
10186;2022-08-06;Libros Digitales;382398.36;0.027366490088807083;0.02912678613190437;382398.36;0;1/1
48670;2023-09-24;Marketplace (Amazon, eBay);146391.42;0.02872433023541552;0.002195151671511599;146391.42;0;1/1
66662;2021-09-26;Seguros de Salud;331048.63;0.0036801433532955984;0.011850285858821353;331048.63;0;1/1
11127;2022-07-15;Librería;486980.51;0.027178010883689645;0.03881848073851012;486980.51;0;1/1
23754;2021-05-08;Estilista / Peluquería;270556.05;0.02442952917315406;0.020916136669245848;270556.05;0;1/1
91059;2024-08-07;Créditos Hipotecarios;326593.45;0.0037212510007143492;0.029190458043551124;326593.45;0;1/1
78298;2022-04-22;Cafetería;287325.76;0.012423296804039276;0.01102756116076523;287325.76;0;1/1
67853;2025-08-14;Fotografía;403573.58;0.010727177175763044;0.025854378006904554;403573.58;0;1/1
68491;2021-11-27;Pinturas;335713.2;0.014026675960145354;0.014089928499820811;335713.2;0;1/1
84707;2022-01-02;Escuelas de Idiomas;69187.82;0.029401249495874426;0.02667055735486763;69187.82;0;1/1
10177;2022-09-21;Tienda de Ropa;434297.94;0.02205600483297637;0.03369096062986346;434297.94;0;1/1
73793;2023-06-07;Pago de Servicios (Agua);307365.3;0.0069141543818749185;0.025607661922084187;307365.3;0;1/1
40048;2021-02-26;Tienda de Electrodomésticos;269368.19;0.005176545807026458;0.021417005978466314;269368.19;0;1/1
44278;2023-07-06;Tienda de Juguetes;49633.43;0.013400069372068732;0.014892119039402964;49633.43;0;1/1
38214;2022-08-25;Licorería;262538.63;0.02108183243929888;0.020112690724838386;262538.63;0;1/1
11336;2022-12-24;Seguros de Salud;409256.33;0.0007713703509303149;0.020780457443797525;409256.33;0;1/1
24142;2022-03-07;Accesorios;347841.81;0.012271179238289045;0.01935267380017179;347841.81;0;1/1
45991;2025-04-17;Tienda de Moda;364448.4;0.004593573591056725;0.029507306473994604;364448.4;0;1/1
62946;2020-07-11;Transporte Público;63554.57;0.010066520481036293;0.030790668680685706;63554.57;0;1/1
38998;2024-09-07;Clínicas;372676.43;0.024129121623317207;0.03338746555763422;372676.43;0;1/1
36454;2021-08-29;Panadería;399930.42;0.01104506729015867;0.013876517761946894;399930.42;0;1/1
68608;2020-12-26;Colegio;205106.53;0.02102399605298012;0.027682310481036074;205106.53;0;1/1
44207;2024-08-11;Zapatería;181843.06;0.028024021073801933;0.034919645108338976;181843.06;0;1/1
40920;2023-11-21;Escuelas de Baile;30783.32;0.005831713868022282;0.0036930643310652033;30783.32;0;1/1
93893;2022-08-28;Accesorios;70304.97;0.018456271778977067;0.029281259862186017;70304.97;0;1/1
59817;2024-10-14;Cosméticos;426012.73;0.021399106554922057;0.016314303568379027;426012.73;0;1/1
87471;2021-02-14;Clases de Música;350431.8;0.027572007754753016;0.0035406718357848055;350431.8;0;1/1
68958;2020-07-28;Relojería;89865.66;0.018737625424508277;0.036716287827014006;89865.66;0;1/1
54560;2023-10-09;Escuelas de Baile;236215.42;0.011321290932025257;0.003914029172082741;236215.42;0;1/1
38758;2020-08-13;Cambio de Tarjeta;202924.5;0.02338637147225952;0.029532684330408458;202924.5;0;1/1
24265;2024-09-09;Parque de Diversiones;27688.2;0.01627222128932396;0.003204859268170628;27688.2;0;1/1
78143;2024-07-23;Seguros de Auto;175741.36;0.005789530888173484;0.015147412703733978;175741.36;0;1/1
21937;2021-10-14;Mueblería;54028.81;0.010468378772781216;0.013445638303526476;54028.81;0;1/1
56267;2024-07-26;Veterinaria;350174.11;0.005940622820704925;0.012660967424525792;350174.11;0;1/1
51033;2022-11-23;Software;449546.23;0.0024395826156302577;0.027254874120448695;449546.23;0;1/1
12419;2024-12-05;Decoración;377541.72;0.020636170566988427;0.03492175724656606;377541.72;0;1/1
34973;2024-07-31;Cambio de Tarjeta;439885.91;0.0013956813485618003;0.02573516302483296;439885.91;0;1/1
50629;2024-12-02;Floristería;139966.25;0.0034446373466264888;0.03349250242028619;139966.25;0;1/1
93494;2021-01-14;Guardería;210580.32;0.02754937740382101;0.02797134134010355;210580.32;0;1/1
27203;2021-09-17;Dietas Online;132200.83;0.012628992223920008;0.02890889044106965;132200.83;0;1/1
51767;2021-06-11;Cafetería;446275.84;0.002345358384654518;0.014856221126165;446275.84;0;1/1
64483;2021-01-14;Pinturas;114497.79;0.029225451092631118;0.006218518447106072;114497.79;0;1/1
12577;2024-02-26;Discoteca;324295.02;0.017000417605859196;0.023685814869660402;324295.02;0;1/1
29916;2023-01-11;Ajuste Banco;496447.32;0.006578995543490143;0.011197808063654549;496447.32;0;1/1
52082;2025-06-14;Tienda de Instrumentos Musicales;327182.58;0.02721797097032438;0.038559940584673075;327182.58;0;1/1
49815;2020-09-16;Nutricionista;170837.04;0.026072005964432706;0.027174205182372124;170837.04;0;1/1
82921;2025-05-24;Cine;386698.01;0.006367958547196898;0.017656274303308878;386698.01;0;1/1
63087;2022-08-27;Dietas Online;59418.25;0.012602438707409784;0.005031868390972218;59418.25;0;1/1
95585;2023-07-17;Marketplace (Amazon, eBay);60653.65;0.01007889804037831;0.0067803723248378266;60653.65;0;1/1
73777;2022-12-24;Reparaciones del Hogar;171594.5;0.02421388007682098;0.010709035756633511;171594.5;0;1/1
61512;2023-11-15;Clases de Música;183375.74;0.024542532471349965;0.02340130190814146;183375.74;0;1/1
51545;2025-02-10;Estacionamiento;314835.43;0.02742852510837558;0.001702457307434928;314835.43;0;1/1
27277;2025-04-19;Bolsos y Carteras;416525.92;0.00607975357755152;0.006362889870404085;416525.92;0;1/1
63971;2020-03-01;Bolsos y Carteras;415402.04;0.017611412602564016;0.023522780481122586;415402.04;0;1/1
92462;2022-06-25;Bar;201336.29;0.021735961166432987;0.015672098063975803;201336.29;0;1/1
84671;2020-11-15;Estilista / Peluquería;402584.94;0.003354056811013437;0.009891259260967549;402584.94;0;1/1
69319;2025-06-12;Psicólogo;267305.05;0.007906626061623725;0.015830830278918902;267305.05;0;1/1
24010;2021-11-12;Librería;379468.63;0.02463518426889688;0.020004229443533268;379468.63;0;1/1
55718;2023-03-15;Museo;223044.53;0.01179322170597527;0.012605826386693133;223044.53;0;1/1
81898;2020-05-23;Bolsos y Carteras;61059.48;0.018821846000896026;0.027664053606561184;61059.48;0;1/1
28614;2020-08-06;Videojuegos;361612.35;0.029028109351231943;0.009653947939658592;361612.35;0;1/1
56180;2023-02-10;Clínicas;301863.21;0.014913326691656336;0.02475767628953034;301863.21;0;1/1
94894;2023-10-27;Celulares;144436.98;0.028190524159241174;0.028178677495438644;144436.98;0;1/1
21153;2024-02-18;Cambio de Tarjeta;476513.44;0.021587252209099708;0.03723679347465977;476513.44;0;1/1
47675;2022-11-27;Dietas Online;250624.21;0.01717382854767544;0.034559269308412625;250624.21;0;1/1
61747;2024-06-23;Pinturas;358576.02;0.01918762521403254;0.029914629889459584;358576.02;0;1/1
27632;2020-12-07;Avance en Efectivo;310292.14;0.02102535310108336;0.018263925518765222;310292.14;0;1/1
80111;2021-12-03;Seguros de Salud;435695.34;0.011240247234202158;0.027346883076245807;435695.34;0;1/1
78027;2022-03-16;Centro de Estética;33579.92;0.02083824705610441;0.008621981539838562;33579.92;0;1/1
34450;2023-08-04;Tienda de Moda;297580.64;0.020391396660937044;0.01969986435995841;297580.64;0;1/1
22288;2024-02-25;Pinturas;99012.63;0.015860904384556625;0.031939303962248394;99012.63;0;1/1
48847;2021-03-23;Alquiler de Vivienda;381020.48;0.006489887723443769;0.03300319614408618;381020.48;0;1/1
42726;2024-05-31;Videojuegos;207981.13;0.004726001707232558;0.034829208865271556;207981.13;0;1/1
73235;2020-03-14;Tienda de Ropa;287688.7;0.02775686995816036;0.023655900407390726;287688.7;0;1/1
44308;2020-07-26;Créditos Hipotecarios;288062.0;0.029007209220901414;0.020116905753041207;288062.0;0;1/1
37968;2021-09-29;Uber/Didi/Cabify;300704.31;0.018582963561490484;0.012810453372190658;300704.31;0;1/1
18232;2024-12-25;Colegio;424833.13;0.003934247125258766;0.023777458192410904;424833.13;0;1/1
27938;2022-05-18;Pago de Servicios (Internet);174277.98;0.007872974223650468;0.025375026162800723;174277.98;0;1/1
66433;2022-03-13;Periódicos;297931.3;0.02562105684667014;0.024815862035110388;297931.3;0;1/1
97837;2023-12-29;Nutricionista;36732.92;0.015389035669573675;0.025367191782372865;36732.92;0;1/1
66677;2025-01-07;Cosméticos;154291.61;0.008518503988298173;0.03162122247903209;154291.61;0;1/1
58173;2023-07-10;Electricista;296576.14;0.02592169800991681;0.018805960168083544;296576.14;0;1/1
46014;2023-10-03;Dentista;59484.97;0.005284484726230205;0.00611317026728857;59484.97;0;1/1
90230;2024-10-29;Cambio de Tarjeta;497131.07;0.017599515197924274;0.011834460006721916;497131.07;0;1/1
45652;2022-07-24;Apps de Salud;447690.98;0.009292482851999642;0.03654112787568869;447690.98;0;1/1
53580;2022-09-14;Psicólogo;355100.55;0.008559295377065623;0.013094890668576192;355100.55;0;1/1
57280;2025-03-11;Streaming (Netflix, Spotify);66027.25;0.0019589374479331146;0.018361761642608415;66027.25;0;1/1
33167;2022-08-20;Tienda de Moda;313383.2;0.0010340026170118299;0.001502381042891705;313383.2;0;1/1
95039;2024-07-18;Alquiler de Vivienda;411036.52;0.005937323436935952;0.00858837019647019;411036.52;0;1/1
84129;2025-06-11;Florería Online;103428.47;0.023483762210954634;0.02998977879922774;103428.47;0;1/1
61443;2021-12-22;Gimnasio Virtual;498053.29;0.02829955248110727;0.03159831027305746;498053.29;0;1/1
23844;2024-05-25;Uber/Didi/Cabify;329493.6;0.012636106599991934;0.0008955969882367754;329493.6;0;1/1
92039;2022-07-19;Videojuegos;269919.13;0.0226962957977178;0.021533554218523102;269919.13;0;1/1
22550;2024-06-23;Universidad;36923.61;0.008423185773141884;0.027731262772692444;36923.61;0;1/1
62942;2025-07-03;Electricista;190795.36;0.017503143557873347;0.011093537241617182;190795.36;0;1/1
84971;2022-06-08;Dentista;298134.38;0.00530435926478529;0.011198674308924636;298134.38;0;1/1
82054;2025-06-06;Tienda de Mascotas;36472.9;0.029218792090153645;0.030778366573921984;36472.9;0;1/1
56246;2022-01-13;Zapatería;431910.4;0.029069798511226434;0.023325486911744648;431910.4;0;1/1
42894;2020-02-25;SUPERMERCADO;471576.7;0.017728440698833652;0.02895977633427585;471576.7;0;1/1
80251;2025-05-19;Bar;186514.24;0.022894454089143996;0.03680541618467751;186514.24;0;1/1
56815;2025-08-16;Tienda de Deportes;270487.93;0.014914024994959791;0.026804951620908173;270487.93;0;1/1
91781;2021-08-29;Marketplace Local;264657.01;0.016590569755079634;0.037725979247787526;264657.01;0;1/1
82464;2025-06-27;Barbería;391420.69;0.02969937296230273;0.03040250235733445;391420.69;0;1/1
30374;2021-08-13;Cosméticos;406380.19;0.005424029004429284;0.037761549539370186;406380.19;0;1/1
19683;2021-04-17;Tienda de Moda;97502.22;0.025727635054663814;0.03465823552856775;97502.22;0;1/1
21000;2024-12-20;Heladería;191428.08;0.0058832980296386695;0.01806701828846748;191428.08;0;1/1
43593;2023-08-14;Estilista / Peluquería;181045.22;0.003662399251102012;0.01590635182185296;181045.22;0;1/1
50842;2021-03-24;Suscripción Apps;84598.79;0.015337888390011068;0.012884713126640817;84598.79;0;1/1
36140;2023-02-21;Revistas;465555.27;0.0030046702743909593;0.008192995648037504;465555.27;0;1/1
